Start Date,End Date,PlayerID,Table Name,Game Type,Table Type,Stakes
6/1/2017 10:41:00 AM,6/2/2017 6:50:00 PM,Lightman,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 10:41:00 AM,6/2/2017 5:46:00 AM,Lightman,Amy,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 10:46:00 AM,6/2/2017 4:50:00 AM,Lightman,Mark,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 10:50:00 AM,6/2/2017 11:08:00 AM,Lightman,Mario,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 10:50:00 AM,6/1/2017 10:53:00 AM,TonyT,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 10:54:00 AM,6/1/2017 11:02:00 AM,TonyT,Amy,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:14:00 AM,6/1/2017 11:17:00 AM,TonyT,Mark,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:14:00 AM,6/1/2017 11:17:00 AM,TonyT,Mario,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:17:00 AM,6/1/2017 11:21:00 AM,army1234,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:17:00 AM,6/1/2017 11:32:00 AM,army1234,Amy,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:48:00 AM,6/1/2017 11:52:00 AM,army1234,Mark,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:49:00 AM,6/1/2017 11:57:00 AM,army1234,Mario,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 11:52:00 AM,6/1/2017 12:00:00 PM,army1234,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 2:20:00 PM,6/1/2017 2:26:00 PM,army1234,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 2:26:00 PM,6/1/2017 2:33:00 PM,army1234,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 2:33:00 PM,6/1/2017 2:42:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:03:00 PM,6/1/2017 3:07:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:03:00 PM,6/1/2017 3:09:00 PM,MakingBacon,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:09:00 PM,6/1/2017 3:15:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:10:00 PM,6/2/2017 5:19:00 PM,Lightman,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:15:00 PM,6/2/2017 6:18:00 PM,Lightman,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:18:00 PM,6/2/2017 7:20:00 PM,Lightman,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:19:00 PM,6/1/2017 3:26:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:26:00 PM,6/1/2017 3:31:00 PM,MakingBacon,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:26:00 PM,6/1/2017 3:34:00 PM,army1234,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 3:31:00 PM,6/1/2017 3:38:00 PM,army1234,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
6/1/2017 3:37:00 PM,6/1/2017 3:44:00 PM,army1234,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 3:38:00 PM,6/1/2017 3:49:00 PM,army1234,Amy,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 3:44:00 PM,6/1/2017 3:46:00 PM,MakingBacon,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
6/1/2017 3:46:00 PM,6/1/2017 3:48:00 PM,MakingBacon,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 3:48:00 PM,6/1/2017 3:51:00 PM,TonyT,Hugh,Cash Game,Holdem - NL - 6 Max,$1/$2
6/1/2017 3:55:00 PM,6/1/2017 3:57:00 PM,TonyT,Anna,Cash Game,Holdem - NL - 6 Max,$0.25/$0.50
6/1/2017 3:55:00 PM,6/1/2017 4:05:00 PM,TonyT,Anna,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 3:57:00 PM,6/1/2017 4:07:00 PM,army1234,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 4:06:00 PM,6/1/2017 4:08:00 PM,army1234,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 4:07:00 PM,6/1/2017 4:14:00 PM,MakingBacon,Oisin,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 4:08:00 PM,6/1/2017 7:17:00 PM,Lightman,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 4:14:00 PM,6/1/2017 4:24:00 PM,MakingBacon,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
6/1/2017 4:18:00 PM,6/1/2017 4:22:00 PM,TonyT,Onyx,Cash Game,Omaha - PL,$0.10/$0.25
